year,locality,axis_label,fig_title,fig_order,start_zero,value
1984,Kvädöfjärden,"Koncentration, µg/g fv muskel",alfa-HCH hos abborre,3020,TRUE,0.09773710111069865
1984,Kvädöfjärden,"Koncentration, µg/g fv muskel",DDD hos abborre,3018,TRUE,0.04618853360343681
1984,Kvädöfjärden,"Koncentration, µg/g fv muskel",DDE hos abborre,3019,TRUE,0.13500562806766953
1984,Kvädöfjärden,"Koncentration, µg/g fv muskel",DDT hos abborre,3017,TRUE,0.06979141506684844
1984,Kvädöfjärden,"Koncentration, µg/g fv muskel",HCB hos abborre,3023,TRUE,0.013250182625971831
1984,Kvädöfjärden,"Koncentration, µg/g fv muskel",PCB-101 hos abborre,3026,TRUE,0.03299530332151598
1984,Kvädöfjärden,"Koncentration, µg/g fv muskel",PCB-138 hos abborre,3026.5,TRUE,0.09944350908771457
1984,Kvädöfjärden,"Koncentration, µg/g fv muskel",PCB-153 hos abborre,3028,TRUE,0.14540663083348412
1984,Kvädöfjärden,"Koncentration, µg/g fv muskel",PCB-180 hos abborre,3029,TRUE,0.030823575496393845
1984,Kvädöfjärden,"Koncentration, µg/g fv muskel",PCB-28 hos abborre,3024,TRUE,0.006175514471197788
1984,Kvädöfjärden,"Koncentration, ng/g vv muskel",Kvicksilver hos abborre,3012,TRUE,55.637487969967104
1984,Kvädöfjärden,"Konditionsfaktor, K",Konditionsfaktor hos analyserad abborre,3005,FALSE,1.2289510635828083
1984,Kvädöfjärden,"Längd, cm",Längd hos analyserad abborre,3003,FALSE,16.95776357525997
1984,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,4.693650793650794
1984,Kvädöfjärden,"Vikt, g",Vikt hos analyserad abborre,3002,FALSE,59.929453576525546
1984,Kvädöfjärden,"Ålder, år",Ålder hos analyserad abborre,3001,FALSE,3.0902497436727216
1985,Holmöarna,"Fett, % i muskel",Fetthalt hos analyserad abborre,3004,FALSE,0.8105133767491409
1985,Holmöarna,"Koncentration, µg/g fv muskel",DDE hos abborre,3019,TRUE,0.2141137891314973
1985,Holmöarna,"Konditionsfaktor, K",Konditionsfaktor hos analyserad abborre,3005,FALSE,1.2243544733338918
1985,Holmöarna,"Längd, cm",Längd hos analyserad abborre,3003,FALSE,19.295689442572623
1985,Holmöarna,"Vikt, g",Vikt hos analyserad abborre,3002,FALSE,87.9605779826111
1985,Holmöarna,"Ålder, år",Ålder hos analyserad abborre,3001,FALSE,3.5029676262795912
1985,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,12.551587301587302
1985,Kvädöfjärden,"Fett, % i muskel",Fetthalt hos analyserad abborre,3004,FALSE,0.7885525093980204
1985,Kvädöfjärden,"Koncentration, µg/g fv muskel",DDD hos abborre,3018,TRUE,0.0775649618827898
1985,Kvädöfjärden,"Koncentration, µg/g fv muskel",DDE hos abborre,3019,TRUE,0.33986583900809886
1985,Kvädöfjärden,"Koncentration, µg/g fv muskel",DDT hos abborre,3017,TRUE,0.0983426753699378
1985,Kvädöfjärden,"Konditionsfaktor, K",Konditionsfaktor hos analyserad abborre,3005,FALSE,1.2072439929524819
1985,Kvädöfjärden,"Längd, cm",Längd hos analyserad abborre,3003,FALSE,18.018614762322645
1985,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,4.23968253968254
1985,Kvädöfjärden,"Vikt, g",Vikt hos analyserad abborre,3002,FALSE,70.62512892353843
1985,Kvädöfjärden,"Ålder, år",Ålder hos analyserad abborre,3001,FALSE,3.6222016629833487
1986,Holmöarna,"Fett, % i muskel",Fetthalt hos analyserad abborre,3004,FALSE,0.847565056490232
1986,Holmöarna,"Koncentration, µg/g fv muskel",DDE hos abborre,3019,TRUE,0.16505213781786227
1986,Holmöarna,"Koncentration, µg/g fv muskel",DDT hos abborre,3017,TRUE,0.11369768632692817
1986,Holmöarna,"Konditionsfaktor, K",Konditionsfaktor hos analyserad abborre,3005,FALSE,1.1750200490091105
1986,Holmöarna,"Längd, cm",Längd hos analyserad abborre,3003,FALSE,18.691997904406804
1986,Holmöarna,"Vikt, g",Vikt hos analyserad abborre,3002,FALSE,76.73834840486202
1986,Holmöarna,"Ålder, år",Ålder hos analyserad abborre,3001,FALSE,3.1776715231464365
1986,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,12.982539682539683
1986,Kvädöfjärden,"Fett, % i muskel",Fetthalt hos analyserad abborre,3004,FALSE,0.7660697239707063
1986,Kvädöfjärden,"Koncentration, µg/g fv muskel",DDE hos abborre,3019,TRUE,1.0444686036327968
1986,Kvädöfjärden,"Koncentration, ng/g vv muskel",Kvicksilver hos abborre,3012,TRUE,76.83321748605036
1986,Kvädöfjärden,"Konditionsfaktor, K",Konditionsfaktor hos analyserad abborre,3005,FALSE,1.2243817624425883
1986,Kvädöfjärden,"Längd, cm",Längd hos analyserad abborre,3003,FALSE,18.243515984152637
1986,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,5.233333333333333
1986,Kvädöfjärden,"Vikt, g",Vikt hos analyserad abborre,3002,FALSE,74.3434098384459
1986,Kvädöfjärden,"Ålder, år",Ålder hos analyserad abborre,3001,FALSE,4.4305153607334296
1987,Holmöarna,"Fett, % i muskel",Fetthalt hos analyserad abborre,3004,FALSE,0.8172079262084887
1987,Holmöarna,"Koncentration, µg/g fv muskel",DDE hos abborre,3019,TRUE,0.1783702047273828
1987,Holmöarna,"Koncentration, µg/g fv muskel",DDT hos abborre,3017,TRUE,0.11043756647599592
1987,Holmöarna,"Konditionsfaktor, K",Konditionsfaktor hos analyserad abborre,3005,FALSE,1.1444698377657216
1987,Holmöarna,"Längd, cm",Längd hos analyserad abborre,3003,FALSE,19.728192539164883
1987,Holmöarna,"Vikt, g",Vikt hos analyserad abborre,3002,FALSE,85.45978284025013
1987,Holmöarna,"Ålder, år",Ålder hos analyserad abborre,3001,FALSE,3.923298698984333
1987,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,12.032539682539683
1987,Kvädöfjärden,"Fett, % i muskel",Fetthalt hos analyserad abborre,3004,FALSE,0.870736991726868
1987,Kvädöfjärden,"Koncentration, µg/g fv muskel",DDE hos abborre,3019,TRUE,0.3350845372696469
1987,Kvädöfjärden,"Koncentration, ng/g vv muskel",Kvicksilver hos abborre,3012,TRUE,59.2247501249693
1987,Kvädöfjärden,"Konditionsfaktor, K",Konditionsfaktor hos analyserad abborre,3005,FALSE,1.1990809651017809
1987,Kvädöfjärden,"Längd, cm",Längd hos analyserad abborre,3003,FALSE,16.75870185223902
1987,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,5.093650793650793
1987,Kvädöfjärden,"Vikt, g",Vikt hos analyserad abborre,3002,FALSE,56.437742377144886
1987,Kvädöfjärden,"Ålder, år",Ålder hos analyserad abborre,3001,FALSE,3.8491231753689807
1988,Fjällbacka,"Fett, % i muskel",Fetthalt hos analyserad tånglake,3004,FALSE,1.021326214737434
1988,Fjällbacka,"Konditionsfaktor, K",Konditionsfaktor hos analyserad tånglake,3005,FALSE,0.49232727322171294
1988,Fjällbacka,"Längd, cm",Längd hos analyserad tånglake,3003,FALSE,24.7196175269414
1988,Fjällbacka,"Vikt, g",Vikt hos analyserad tånglake,3002,FALSE,74.36680706082772
1988,Kvädöfjärden,%,GSI hos honabborre,1010,FALSE,6.1338888888888885
1988,Kvädöfjärden,%,Hematokrit hos abborre,1013,FALSE,25.22222222222222
1988,Kvädöfjärden,%,LSI hos abborre,1011,FALSE,1.5872222222222223
1988,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,14.831746031746032
1988,Kvädöfjärden,Faktor,Konditionsfaktor hos abborre,1009,FALSE,1.2177777777777778
1988,Kvädöfjärden,"Koncentration, ng/g vv muskel",Kvicksilver hos abborre,3012,TRUE,59.93058029843928
1988,Kvädöfjärden,"Konditionsfaktor, K",Konditionsfaktor hos analyserad abborre,3005,FALSE,1.171152035530794
1988,Kvädöfjärden,"Längd, cm",Längd hos analyserad abborre,3003,FALSE,18.957098077614237
1988,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,4.982539682539683
1988,Kvädöfjärden,mmol/l plasma,Klorid hos abborre,1016,FALSE,109.38888888888889
1988,Kvädöfjärden,pmol/mg protein × minut,EROD hos honabborre,1024,TRUE,39.611111111111114
1988,Kvädöfjärden,"Vikt, g",Vikt hos analyserad abborre,3002,FALSE,79.78639606383028
1988,Kvädöfjärden,"Ålder, år",Ålder hos analyserad abborre,3001,FALSE,5.0076347148758025
1989,Fjällbacka,%,GSI hos hantånglake,1010,FALSE,0.36947368421052634
1989,Fjällbacka,%,Hematokrit hos tånglake,1013,FALSE,33.714285714285715
1989,Fjällbacka,%,LSI hos tånglake,1011,FALSE,1.187142857142857
1989,Fjällbacka,Faktor,Konditionsfaktor hos tånglake,1009,FALSE,0.515
1989,Fjällbacka,mmol/l plasma,Klorid hos tånglake,1016,FALSE,144.78571428571428
1989,Fjällbacka,pmol/mg protein × minut,EROD hos hantånglake,1024,TRUE,142.38095238095238
1989,Fjällbacka,pmol/mg protein × minut,EROD hos hontånglake,1024,TRUE,57.57142857142857
1989,"Fjällbacka, okt",antal per redskap och natt,"Karpfiskar och mesopredatorer, 
fångst under provfiske",2015,FALSE,0.5444444444444444
1989,"Fjällbacka, okt",antal per redskap och natt,"Rovfisk, fångst under provfiske",2021,FALSE,3.9
1989,"Fjällbacka, okt",antal per redskap och natt,"Strandkrabba, fångst under provfiske",2016,FALSE,57.977777777777774
1989,"Fjällbacka, okt",antal per redskap och natt,"Torsk, fångst under provfiske",2018,FALSE,1.8555555555555556
1989,"Fjällbacka, okt",antal per redskap och natt,Totalfångst under provfiske,2017,FALSE,11.055555555555555
1989,"Fjällbacka, okt",antal per redskap och natt,"Tånglake, fångst under provfiske",2019,FALSE,2.1666666666666665
1989,"Fjällbacka, okt",antal per redskap och natt,"Ål, fångst under provfiske",2020,FALSE,2.1333333333333333
1989,"Fjällbacka, okt",N,Artantal,2001,FALSE,17
1989,"Fjällbacka, okt",Shannon-Wiener diversitetsindex,Diversitet,2002,FALSE,2.017851527847329
1989,"Fjällbacka, okt",Trofisk medelnivå,Trofisk medelnivå,2003,FALSE,3.846030150753769
1989,Holmöarna,"Fett, % i muskel",Fetthalt hos analyserad abborre,3004,FALSE,0.790383195664112
1989,Holmöarna,"Koncentration, µg/g fv muskel",alfa-HCH hos abborre,3020,TRUE,0.02411988690044788
1989,Holmöarna,"Koncentration, µg/g fv muskel",beta-HCH hos abborre,3021,TRUE,0.00798318839707908
1989,Holmöarna,"Koncentration, µg/g fv muskel",DDD hos abborre,3018,TRUE,0.019234737185237112
1989,Holmöarna,"Koncentration, µg/g fv muskel",DDE hos abborre,3019,TRUE,0.1748194384286985
1989,Holmöarna,"Koncentration, µg/g fv muskel",DDT hos abborre,3017,TRUE,0.09548064939795108
1989,Holmöarna,"Koncentration, µg/g fv muskel",HCB hos abborre,3023,TRUE,0.01601405519988233
1989,Holmöarna,"Koncentration, µg/g fv muskel",Lindan hos abborre,3022,TRUE,0.019482561869286423
1989,Holmöarna,"Koncentration, µg/g fv muskel",PCB-118 hos abborre,3027,TRUE,0.09239338685355092
1989,Holmöarna,"Koncentration, µg/g fv muskel",PCB-138 hos abborre,3026.5,TRUE,0.20202546667919682
1989,Holmöarna,"Koncentration, µg/g fv muskel",PCB-153 hos abborre,3028,TRUE,0.22790577958005584
1989,Holmöarna,"Koncentration, µg/g fv muskel",PCB-180 hos abborre,3029,TRUE,0.10802210086981909
1989,Holmöarna,"Konditionsfaktor, K",Konditionsfaktor hos analyserad abborre,3005,FALSE,1.2344815056046976
1989,Holmöarna,"Längd, cm",Längd hos analyserad abborre,3003,FALSE,19.843459319303733
1989,Holmöarna,"Vikt, g",Vikt hos analyserad abborre,3002,FALSE,96.45766476125425
1989,Holmöarna,"Ålder, år",Ålder hos analyserad abborre,3001,FALSE,4.047391763671235
1989,Kvädöfjärden,%,GSI hos honabborre,1010,FALSE,6.165
1989,Kvädöfjärden,%,Hematokrit hos abborre,1013,FALSE,28.36111111111111
1989,Kvädöfjärden,%,LSI hos abborre,1011,FALSE,1.41
1989,Kvädöfjärden,°C,"Vattentemperatur vid 1m, säsongsmedel ",2011,FALSE,14.970634920634922
1989,Kvädöfjärden,Faktor,Konditionsfaktor hos abborre,1009,FALSE,1.2261111111111112
1989,Kvädöfjärden,"Fett, % i muskel",Fetthalt hos analyserad abborre,3004,FALSE,0.9771461138353786
1989,Kvädöfjärden,"Koncentration, µg/g fv muskel",DDD hos abborre,3018,TRUE,0.016034871858543392
1989,Kvädöfjärden,"Koncentration, µg/g fv muskel",DDE hos abborre,3019,TRUE,0.07343180708927899
1989,Kvädöfjärden,"Koncentration, µg/g fv muskel",DDT hos abborre,3017,TRUE,0.022370963323022103
1989,Kvädöfjärden,"Koncentration, µg/g fv muskel",HCB hos abborre,3023,TRUE,0.04088175037703655
1989,Kvädöfjärden,"Koncentration, µg/g fv muskel",Lindan hos abborre,3022,TRUE,0.034416747041336106
1989,Kvädöfjärden,"Koncentration, µg/g fv muskel",PCB-101 hos abborre,3026,TRUE,0.04959780077798709
1989,Kvädöfjärden,"Koncentration, µg/g fv muskel",PCB-118 hos abborre,3027,TRUE,0.021339088136568585
1989,Kvädöfjärden,"Koncentration, µg/g fv muskel",PCB-138 hos abborre,3026.5,TRUE,0.037476895823167426
1989,Kvädöfjärden,"Koncentration, µg/g fv muskel",PCB-153 hos abborre,3028,TRUE,0.041097748323185024
1989,Kvädöfjärden,"Koncentration, µg/g fv muskel",PCB-180 hos abborre,3029,TRUE,0.010139943023687733
1989,Kvädöfjärden,"Koncentration, ng/g vv muskel",Kvicksilver hos abborre,3012,TRUE,35.8412431734661
1989,Kvädöfjärden,"Konditionsfaktor, K",Konditionsfaktor hos analyserad abborre,3005,FALSE,1.1871709828501777
1989,Kvädöfjärden,"Längd, cm",Längd hos analyserad abborre,3003,FALSE,17.98472245180531
1989,Kvädöfjärden,m,"Siktdjup, säsongsmedel",2012,FALSE,5.1722222222222225
1989,Kvädöfjärden,mmol/l plasma,Klorid hos abborre,1016,FALSE,111.13793103448276
1989,Kvädöfjärden,pmol/mg protein × minut,EROD hos honabborre,1024,TRUE,74.31428571428572
1989,Kvädöfjärden,"Vikt, g",Vikt hos analyserad abborre,3002,FALSE,69.05966906427734
1989,Kvädöfjärden,"Ålder, år",Ålder hos analyserad abborre,3001,FALSE,4.19370795942209
1990,Fjällbacka,%,Hematokrit hos tånglake,1013,FALSE,18.42
1990,Fjällbacka,%,LSI hos tånglake,1011,FALSE,1.2168
1990,Fjällbacka,Faktor,Konditionsfaktor hos tånglake,1009,FALSE,0.5376
1990,Fjällbacka,mmol/l plasma,Klorid hos tånglake,1016,FALSE,136.41666666666666
1990,Fjällbacka,pmol/mg protein × minut,EROD hos hontånglake,1024,TRUE,49.42
1990,"Fjällbacka, okt",antal per redskap och natt,"Karpfiskar och mesopredatorer, 
fångst under provfiske",2015,FALSE,0.2222222222222222
1990,"Fjällbacka, okt",antal per redskap och natt,"Rovfisk, fångst under provfiske",2021,FALSE,6.233333333333333
1990,"Fjällbacka, okt",antal per redskap och natt,"Strandkrabba, fångst under provfiske",2016,FALSE,116.6888888888889
1990,"Fjällbacka, okt",antal per redskap och natt,"Torsk, fångst under provfiske",2018,FALSE,1.5222222222222221
1990,"Fjällbacka, okt",antal per redskap och natt,Totalfångst under provfiske,2017,FALSE,14.588888888888889
1990,"Fjällbacka, okt",antal per redskap och natt,"Tånglake, fångst under provfiske",2019,FALSE,3.6888888888888887
1990,"Fjällbacka, okt",antal per redskap och natt,"Ål, fångst under provfiske",2020,FALSE,0.9666666666666667
1990,"Fjällbacka, okt",N,Artantal,2001,FALSE,12
1990,"Fjällbacka, okt",Shannon-Wiener diversitetsindex,Diversitet,2002,FALSE,1.8784466964682884
1990,"Fjällbacka, okt",Trofisk medelnivå,Trofisk medelnivå,2003,FALSE,3.950647372429551
1990,Holmöarna,%,GSI hos honabborre,1010,FALSE,4.860625
1990,Holmöarna,%,Hematokrit hos abborre,1013,FALSE,31.4375
1990,Holmöarna,%,LSI hos abborre,1011,FALSE,1.5474999999999999
1990,Holmöarna,°C,"Vattentemperatur vid 1m, säsongsmedel",2011,FALSE,15.833333333333334
1990,Holmöarna,Faktor,Konditionsfaktor hos abborre,1009,FALSE,1.1675
1990,Holmöarna,mmol/l plasma,Klorid hos abborre,1016,FALSE,96.5
1990,Holmöarna,pmol/mg protein × minut,EROD hos honabborre,1024,TRUE,110.8125
1990,Kvädöfjärden,%,GSI hos honabborre,1010,FALSE,5.644666666666667
